lemma,count
sixteen,13
pillow,13
recognise,13
flutter,13
cane,13
divine,13
kettle,12
main,12
mauve,12
Kevin,12
planet,12
union,12
porch,12
stable,12
Bennett,12
decent,12
Holy,12
screen,12
yell,12
mutter,12
announce,12
screw,12
Barney,12
slender,12
wreath,12
Howard,12
self,12
o’connell,12
sweetheart,12
dangle,12
clerk,12
stale,12
interval,12
choose,12
arrangement,12
cod,12
author,12
command,12
carefully,12
blessing,12
insult,12
bang,12
upright,12
machine,12
split,12
incense,12
blaze,12
empire,12
lunch,12
Russell,12
coil,12
hoarse,12
e,12
gun,12
record,12
difference,12
yawn,12
fist,12
mighty,12
bazaar,12
modern,12
harp,12
teapot,12
comb,12
direct,12
whoever,12
Hely,12
sniff,12
gallon,12
choir,12
class,12
Murphy,12
Klook,12
knight,12
opera,12
Kiernan,12
Lombard,12
creep,12
Love,12
possession,12
7,12
throne,12
provide,12
depart,12
sack,12
postcard,12
Friday,12
delivery,12
Alexander,12
nt,12
tuck,12
Nannetti,12
Dan,12
singing,12
gape,12
arise,12
Goodwin,12
brood,12
centre,12
viceregal,12
ass,12
bitter,12
solution,12
caffrey,12
Monsieur,12
shock,12
plume,12
Gerald,12
Mullingar,12
Great,12
cart,12
bump,12
descend,12
Doyle,12
waiter,12
policy,12
fume,12
museum,12
university,12
o’madden,12
bride,12
CORNY,12
lieutenant,12
KELLEHER,12
stock,12
vision,12
oath,12
draught,12
shawl,12
Brian,12
opening,12
bicycle,12
unknown,12
science,12
slope,12
obtain,12
fate,12
librarian,12
attend,12
weave,12
quantity,12
delicate,12
market,12
catholic,12
create,12
commercial,12
bore,12
wail,12
erect,12
pencil,12
hue,12
describe,12
pier,12
innocent,12
goodbye,12
conscious,12
corn,11
pride,11
piss,11
Saturday,11
fond,11
supper,11
jolly,11
complete,11
comfort,11
punish,11
a.,11
root,11
wound,11
grandfather,11
recline,11
jesuit,11
tug,11
examine,11
accordingly,11
tune,11
occupy,11
stupid,11
claw,11
intend,11
Ann,11
avenue,11
Edmund,11
precede,11
assume,11
peasant,11
rum,11
newsboy,11
error,11
Bushe,11
sale,11
spoil,11
pad,11
pile,11
begob,11
rib,11
spread,11
fragment,11
Paul,11
elderly,11
le,11
Cork,11
schoolboy,11
reek,11
able,11
nervous,11
lust,11
surface,11
merchant,11
affair,11
Castile,11
invention,11
share,11
muse,11
accuse,11
compare,11
arrest,11
grip,11
solemnly,11
New,11
disappear,11
à,11
Dilly,11
departure,11
deal,11
Boody,11
perch,11
armpit,11
heavily,11
reduce,11
merely,11
kid,11
turf,11
success,11
pike,11
weed,11
liquid,11
neat,11
x,11
seal,11
warmth,11
incline,11
harbour,11
flap,11
danger,11
dreadful,11
crouch,11
pub,11
thin,11
repose,11
Most,11
custom,11
sausage,11
distance,11
fee,11
Hughes,11
11,11
arse,11
spade,11
Greek,11
lower,11
chin,11
seed,11
lemon,11
biscuit,11
lamb,11
discharge,11
beggar,11
keen,11
eyelid,11
Dick,11
solid,11
pat,11
cheese,11
Irishman,11
signal,11
respectable,11
beer,11
basket,11
somehow,11
attract,11
gallant,11
stir,11
theatre,11
o’clock,11
friendly,11
squeeze,11
crimson,11
16,11
exercise,11
sweat,11
tray,11
somewhat,11
rotten,11
breed,11
excite,11
Corley,11
Malahide,11
globe,11
prepare,11
terrace,11
plaster,11
spoon,11
slim,11
invincible,11
trust,11
eld,11
bat,11
stink,11
stripling,11
bawl,11
vessel,11
gent,11
police,11
giant,11
wellknown,11
bother,11
excellent,11
propose,11
criminal,11
mistress,11
temper,11
twirl,10
canal,10
Goat,10
